"","Month_name","Region","Taxa","Probability","U","Q","Timesteps","Best","Worst","Month","Percenttot","Window","MonthName"
"149","May","Sanpablo","Clupea pallasii",33.9371808,0.003136606,5.808375246,1,28.70217489,42.28871102,5,51.0680882,"Key","May"
"150","June","Sanpablo","Clupea pallasii",30.50373625,-0.040993859,4.920795136,1,24.83575106,38.83885545,6,14.5694868,"Off","Jun"
"151","July","Sanpablo","Clupea pallasii",24.26221289,-0.033165215,3.804833437,1,18.0236435,33.72240387,7,9.7409145,"Off","Jul"
"152","August","Sanpablo","Clupea pallasii",17.09720901,-0.023081374,2.786190306,1,10.76223093,27.47348088,8,2.5649462,"Off","Aug"
"153","September","Sanpablo","Clupea pallasii",14.79784251,-0.045673929,2.456701502,1,9.562970342,22.95284197,9,1.5388797,"Off","Sep"
"154","October","Sanpablo","Clupea pallasii",10.0524896,-0.042452299,1.90817057,1,4.443529604,20.09451936,10,0.3603544,"Off","Oct"
"155","November","Sanpablo","Clupea pallasii",NA,NA,NA,1,NA,NA,11,0.2683285,"Off","Nov"
"156","December","Sanpablo","Clupea pallasii",NA,NA,NA,1,NA,NA,12,0.2180256,"Off","Dec"
"157","January","Central","Clupea pallasii",NA,NA,NA,1,NA,NA,1,0.00302,"Off","Jan"
"158","February","Central","Clupea pallasii",NA,NA,NA,1,NA,NA,2,0.0111559,"Off","Feb"
"159","March","Central","Clupea pallasii",17.28483289,0.126495945,2.853604125,1,4.486116342,39.17549819,3,0.1233495,"Off","Mar"
"160","April","Central","Clupea pallasii",41.68024013,-0.004633414,8.022457875,1,36.55981913,49.63726377,4,13.8202956,"Key","Apr"
"161","May","Central","Clupea pallasii",44.61166977,-0.143087471,8.489375414,1,37.93772566,52.63984936,5,36.8639976,"Key","May"
"162","June","Central","Clupea pallasii",39.48254638,-0.101665443,6.93308128,1,33.57655794,47.06221204,6,25.3564825,"Key","Jun"
"163","July","Central","Clupea pallasii",38.15253257,-0.18047687,6.261917101,1,30.92063553,46.06158998,7,12.9416973,"Off","Jul"
"164","August","Central","Clupea pallasii",28.81469907,-0.060974949,4.531891587,1,23.11368225,36.84458324,8,3.4485341,"Off","Aug"
"165","September","Central","Clupea pallasii",28.68070223,-0.077110948,4.462658014,1,21.68614845,38.1895904,9,3.4729941,"Off","Sep"
"166","October","Central","Clupea pallasii",27.57368696,-0.087093903,4.233713465,1,20.1298473,37.53541119,10,2.4955345,"Off","Oct"
"167","November","Central","Clupea pallasii",13.06567368,5.22e-17,2.320626281,1,3.343184271,32.65311562,11,0.3855515,"Off","Nov"
"168","December","Central","Clupea pallasii",24.21431175,0.074014881,3.876467519,1,14.0352483,38.0914744,12,1.0773851,"Off","Dec"
"169","January","South","Clupea pallasii",NA,NA,NA,1,NA,NA,1,0.0247877,"Off","Jan"
